B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
Sphingobacterium	0	0	0	0	0	0	0	5.35e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.13e-05	0	0	0	0	0	0	0
Megasphaera	0	0	0	7.83e-05	0	0	0	1.78e-05	3.03e-05	0	0.000264081	2.01e-05	0	0	0	0	0	0	0	9.89e-05	0	3.52e-05	1.95e-05	0	2.79e-05	0	0	0	0	0.000215826	0	1.41e-05	0	0	0	0	0	2.26e-05	0	1.77e-05	0	0	0	0	5.28e-05
Gardnerella	0	0	0	0	0	0	2.61e-05	0	0	0	0	0	0	0	0	1.84e-05	0	0	0	0	0	0	0	0	0.00026458	0	0	0	0	0	0	2.81e-05	1.3e-05	4.92e-05	0	0	0	0	8.18e-05	0	0	0	0	0	0
Varibaculum	0	0	0	0	0	0	0	5.35e-05	0	1.99e-05	7.55e-05	0	0	0	0	0	0	0	0	0	0.000337807	0	0	0	0	0	1.54e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.26e-05	3.96e-05	0	0	0
Haemophilus	6.22e-05	2.1e-05	1.57e-05	0.000998375	1.64e-05	3.35e-05	0.00023519	3.57e-05	0	3.98e-05	3.77e-05	0	1.62e-05	0	0	0	0	0	0	3.3e-05	0	0	0	0	0.000125327	4.76e-05	0	2e-05	3.04e-05	0.000292907	0	1.41e-05	0	3.28e-05	0	0	0	0.000643646	3.27e-05	0	0	0	1.32e-05	1.22e-05	6.6e-05
Mogibacterium	4.15e-05	4.19e-05	0.000424829	1.96e-05	0	0.000100518	0.000391983	1.78e-05	0.000121003	0.000159058	0.000132041	0.000240741	0.000113382	1.61e-05	5.11e-05	0.00020195	0.000569074	0.000701125	9.45e-05	4.94e-05	3.07e-05	0.000105506	0.000116818	9.72e-05	8.36e-05	0.000491821	0.000123016	8.01e-05	0.000106467	0.000385404	4.93e-05	8.44e-05	0.00016882	9.84e-05	0.000245024	0.000289917	0.000557369	5.65e-05	0.00031091	0.000511979	0.000195376	0.000376439	9.24e-05	8.52e-05	0.001689992
Bacillus	0	2.1e-05	0.000204547	9.79e-05	3.29e-05	0	0	0.000463698	9.08e-05	1.99e-05	0	6.02e-05	0	1.61e-05	0	7.34e-05	0.000295919	8.15e-05	3.15e-05	0	9.21e-05	0.000105506	0.000369923	1.94e-05	1.39e-05	6.35e-05	0.000338295	6.01e-05	9.13e-05	0.001449119	1.64e-05	1.41e-05	1.3e-05	0.000229527	0.000129719	0.000425211	0.004044908	0.000429097	0.003092733	0.000300125	0.000227939	0.000257563	0	4.87e-05	0.001043042
Ruminococcus2	0.02678664	0.003959608	0.021430257	0.004698236	0.008447834	0.027692617	0.007944182	0.011592445	0.026136673	0.155022268	0.024012525	0.07003571	0.009588908	0.018643958	0.019733034	0.048321063	0.063736314	0.023186043	0.017694235	0.006854619	0.00721678	0.008598709	0.008002025	0.011778884	0.005430847	0.059335882	0.028447534	0.021098989	0.023072945	0.014922842	0.004388272	0.016055272	0.015830141	0.024493811	0.027485911	0.006610101	0.01063779	0.012330902	0.089918345	0.020743958	0.01177141	0.016206685	0.024984484	0.023495611	0.017692105
Faecalitalea	0	0	1.57e-05	0	0	0	0.000104529	0	0	0	0	0	0	0	0	0	0	8.15e-05	0	0	0	0	0	0	0	0	0	0	3.04e-05	0	0	2.81e-05	3.9e-05	0.000344291	0.00027385	0	0	0	1.64e-05	0	0	0	0	0	0
Acinetobacter	4.15e-05	4.19e-05	0	0.032926805	1.64e-05	1.68e-05	0	0.000178345	0	7.95e-05	0	0.000140433	0	0	0	0.000183591	0.000500785	0.000440241	4.73e-05	0	0.001197678	0	1.95e-05	0	1.39e-05	1.59e-05	3.08e-05	2e-05	0.000623593	3.08e-05	1.64e-05	8.44e-05	6.49e-05	1.64e-05	8.65e-05	0.000115967	3.18e-05	0.000158088	1.64e-05	1.77e-05	1.63e-05	1.98e-05	0.000158464	0.000231304	0.00034328
Sutterella	2.07e-05	0	0	9.79e-05	3.29e-05	0	2.61e-05	0	0	0	0	0	0	3.23e-05	0	0	0	0	0	0	0	0	0	0	0	1.59e-05	0	0	1.52e-05	0	0	0	0	1.64e-05	5.77e-05	0	1.59e-05	1.13e-05	0	0	0	1.98e-05	0	4.87e-05	0
Arcobacter	0	0	0	0	0	0	0	0	0	0	0	2.01e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Akkermansia	8.29e-05	0	0.000204547	0.000117456	0.002120176	0.000100518	0	0.000267518	9.08e-05	5.96e-05	0.010563247	4.01e-05	0.000599307	0.000258048	0.00037457	0.000312104	0.000455259	3.26e-05	0.000945373	0.009458057	0.010717686	1.76e-05	0.000389393	0.000174934	0.000167103	1.59e-05	0	0.000260234	0.000106467	1.54e-05	4.93e-05	0	0.000246737	0.000213132	0.000288263	1.93e-05	0.000191098	6.78e-05	4.91e-05	0	0.00035819	0.000356626	0.00081873	3.65e-05	0.000858199
Lactococcus	0.000165862	0.000188553	0.001274487	0.000626431	0.000394451	0.000234541	0	0.001498101	0.000605016	0.000596469	0.000471574	0.002367291	0.000113382	0.000145152	0.015459529	0.00137693	0.001616171	6.52e-05	0.000472687	0.000494324	0.000214968	8.79e-05	0.002647872	0.001632717	2.79e-05	0.000126922	0.000215279	0.00030027	0.001231977	0.000169578	4.93e-05	0.000323638	0.000986949	0.005147963	0.002176388	0.000483194	0.000191098	4.52e-05	4.91e-05	0.033825892	0.004591338	0.006320211	0.006497022	0.004577383	0.000541326
Faecalicoccus	0	0	0	0	0	0	0	0	0	0	0	0.000240741	0	0	0	0	0	0	0	0	0	5.28e-05	0	0	2.79e-05	1.59e-05	0	0	0	0	0	0	0.000545419	0	1.44e-05	1.93e-05	0	0	1.64e-05	0	0	0	0	1.22e-05	1.32e-05
Propionibacterium	0	2.1e-05	1.57e-05	1.96e-05	0	0	0	0.000124842	0	0	0	0	0	0	0	0	2.28e-05	4.89e-05	1.58e-05	0	0	0	1.95e-05	0	0	3.17e-05	1.54e-05	2e-05	1.52e-05	1.54e-05	0	0	1.3e-05	6.56e-05	1.44e-05	0	1.59e-05	0	0	1.77e-05	0	0	1.32e-05	0	0
Bradyrhizobium	0	4.19e-05	0	0	0	0	0	0.000160511	0	3.98e-05	0	0	0	0	0	0	0	3.26e-05	0	0	0	0	1.95e-05	0	0	0	1.54e-05	0	0	0	9.86e-05	0.000647277	1.3e-05	1.64e-05	1.44e-05	0.000309244	0	1.13e-05	0	0	0	0	1.32e-05	0	7.92e-05
Ruminococcus	0.022059586	0.028513366	0.084320667	0.023941429	0.024160147	0.016702685	0.081584655	0.001943964	0.006292162	0.012863846	0.053778247	0.004574088	0.016764391	0.022917876	0.03020397	0.022563293	0.028795156	0.006228599	0.007988403	0.060917135	0.022325953	0.001863933	0.012343756	0.027348002	0.024494513	0.01096286	0.025925698	0.013111801	0.020350429	0.008401807	0.003977385	0.019235369	0.039542887	0.004738093	0.009700062	0.002493284	0.009172705	0.007147858	0.02294186	0.016965909	0.014474113	0.01416599	0.007857171	0.010530416	0.005149195
Enteractinococcus	0	0	0	3.92e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.14e-05	0	0	0	1.39e-05	0	0	0	0.000106467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prevotella	0.036261481	0.000858963	1.57e-05	0.00209463	0.07034383	0.017305791	0.000182925	0.00058854	0.006352664	0.000178941	0.000396122	0.000621915	3.24e-05	0.000854784	1.7e-05	0	0.000956045	0.000423936	3.15e-05	1.65e-05	0	1.76e-05	0	0.00013606	0.002214115	0.000349035	0.000384426	0.001761585	0.00038024	0.00060123	3.29e-05	0.01363502	0.000259723	0.000163948	0.000129719	7.73e-05	0.000668843	0.001603469	0.001407275	0	8.14e-05	7.93e-05	0.002522218	0.030568642	0.000726168
Segetibacter	0	0	0	0	0	0	0	0.000927396	0	0	0	0	0	0	0	0	0.000113815	9.78e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000278711	0	0.002454628	0	0	0	0	0	0	0	0	0
Solobacterium	0.000186594	6.29e-05	1.57e-05	3.92e-05	3.29e-05	3.35e-05	5.23e-05	7.13e-05	3.03e-05	3.98e-05	7.55e-05	0.00022068	6.48e-05	1.61e-05	3.41e-05	5.51e-05	0.000136578	0.000228273	0.000110294	4.94e-05	6.14e-05	3.52e-05	7.79e-05	1.94e-05	0.000278505	0.000158652	0.000123016	8.01e-05	4.56e-05	6.17e-05	1.64e-05	1.41e-05	0.000155834	1.64e-05	4.32e-05	0.000135294	0.000207023	7.9e-05	8.18e-05	0.000123581	0.000162813	0.000237751	0.000211285	4.87e-05	0.000250858
Gemmiger	0.011796903	0.008631526	0.001935332	0.005402972	0.011389784	0.015848285	0.001881517	0.003335057	0.002178056	0.001849054	0.001376995	0.003310195	0.006317017	0.002677247	0.010147444	0.000458977	0.001570645	0.003228436	0.007988403	0.002438663	0.004360778	0.002409045	0.001051361	0.002701757	0.030607698	0.007996065	0.007104195	0.003523171	0.010205634	0.011284629	0.003188482	0.030745634	0.018154665	0.00154111	0.00059094	0.000908406	0.002786846	0.02614106	0.012992751	0.013028971	0.002132856	0.004180453	0.009322963	0.012806934	0.01301822
Phascolarctobacterium	2.07e-05	2.1e-05	1.57e-05	0.000998375	1.64e-05	3.35e-05	5.23e-05	1.78e-05	0	1.99e-05	7.55e-05	0	3.24e-05	3.23e-05	0	0	6.83e-05	1.63e-05	3.15e-05	0	0	0	0	0	1.39e-05	3.17e-05	3.08e-05	2e-05	1.52e-05	3.08e-05	3.29e-05	0.000140712	0	0	4.32e-05	7.73e-05	0	4.52e-05	4.91e-05	0	8.14e-05	7.93e-05	0.000158464	0.000377391	0.000250858
Gp3	0	0	0	0	0	0	0	0.001087906	0	0	0	0	0	0	0	0	0.000182104	0.000179358	0	0	0	0	0	0	0	0	0	0	0	0	8.22e-05	0	0	0.00040987	1.44e-05	0.001352945	0	0	0	0	0	0	0	0	0
Barnesiella	6.22e-05	0.000481857	0	0.000411096	0.004618368	5.03e-05	0	1.78e-05	0	0	3.77e-05	4.01e-05	1.62e-05	1.61e-05	0.000136207	0	6.83e-05	4.89e-05	3.15e-05	1.65e-05	0	0	0	0	1.39e-05	3.17e-05	9.23e-05	4e-05	4.56e-05	0	0	2.81e-05	0	1.64e-05	4.32e-05	0	1.59e-05	6.78e-05	0	0	0	1.98e-05	0.000105643	0.000170434	0.000132031
Methanobrevibacter	0	0	4.72e-05	5.87e-05	0	0	0	0	0.000635266	0	0	0	0	0	0	0	4.55e-05	0	0	0	0	0	0	0	4.18e-05	0	0	0	0	0	0	0	0	0	0	0	3.18e-05	0	0	0	0	0	0.000105643	0	1.32e-05
Halomonas	0	0	3.15e-05	3.92e-05	0	0	0	0.00039236	0.000181505	0.000178941	0	0.000180556	0	1.61e-05	0	3.67e-05	0.000159341	1.63e-05	0	3.3e-05	3.07e-05	5.28e-05	0	0	0	0	0	0	0.000121677	1.54e-05	0	0	0	1.64e-05	0	3.87e-05	9.55e-05	0	0	0	0	0	0	0	2.64e-05
Cetobacterium	0	0	6.29e-05	0	0	0	2.61e-05	0	0	0	0	0	6.48e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dietzia	0	0	0	0.00019576	0	0	0	0.000107007	0	0	0	2.01e-05	0	0	0	0	0	0	0	0	0.000337807	0	0	0	0	0	0	0	0	0	0	0	0	3.28e-05	0	0	0	0	0	0	0	0	0	0	3.96e-05
Pseudoxanthomonas	0	0	0	0	0.000197226	1.68e-05	0	5.35e-05	0	0	0	0	0	0	0	0	2.28e-05	1.63e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.64e-05	0	0	1.64e-05	0	3.87e-05	1.59e-05	1.13e-05	0	0	0	0	0	0	0
Clostridium_IV	0.002031804	0.000335205	0.000346157	0.00199675	0.006837157	0.000971671	0.000653304	0.000142676	0.00039326	0.000278352	0.001810842	0.000140433	0.000356345	0.000306432	0.000408622	0.000110154	0.000455259	9.78e-05	0.000898105	0.000181252	0.000245678	5.28e-05	0	1.94e-05	0.000738038	7.93e-05	0.000169147	0.000280252	0.000517126	0.000169578	0.001002564	0.002420251	0.000467502	1.64e-05	0.000187371	5.8e-05	0.000111474	0.00072269	0.000196364	0	8.14e-05	5.94e-05	0.002469397	0.001485215	0.004119356
Clostridium_XlVa	0.003939212	0.003037794	0.001667847	0.003993501	0.006902899	0.01320132	0.001254344	0.00039236	0.002994827	0.007117862	0.014222658	0.000842595	0.004146555	0.002854655	0.002315524	0.008188144	0.002617741	0.00140225	0.000772055	0.00090626	0.001289807	0.001230899	0.000233636	0.000330431	0.002033086	0.001792769	0.003921147	0.001701531	0.001292815	0.001187044	0.000936822	0.0029831	0.001805078	0.001655873	0.003257376	0.004889928	0.00437933	0.003421486	0.00705274	0.004431262	0.003337675	0.0067759	0.00398801	0.008253899	0.007829416
Skermanella	0	0	0	0	0	0	0	0.000695547	0	0	0	2.01e-05	0	0	0	1.84e-05	0.00022763	0.000114137	0	0	0	1.76e-05	0	0	0	0	0	2e-05	0	0	0	0	0	0.000360685	0	0.00156555	0	0	0	0	0	0	0	0	0
Garicola	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.07e-05	0	0	0	0	0	0	0	6.08e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Allisonella	2.07e-05	0	0	0	0	0	2.61e-05	0	0	0	0	2.01e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.64e-05	0	0	0	1.13e-05	0	0	0	0	0	0	0
Succinivibrio	0	0	0	0	0	0	0	1.78e-05	0	0	0	0	0	0	0	0	2.28e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.04e-05	3.9e-05	0	1.44e-05	0	0	0	0	0	0	0	0	0	0
Shewanella	0	0	0	0	0	0	0	1.78e-05	3.03e-05	3.98e-05	0	0	0	0	0	0	9.11e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41e-05	0	3.28e-05	0	3.87e-05	1.59e-05	0	0	0	0	0	0	1.22e-05	0
Mitsuokella	0	0	0	3.92e-05	3.29e-05	0.000452329	2.61e-05	0.000303187	0	0	0	0.000260803	0	0	0	0	0	0	0	0	0	0	0	0	1.39e-05	0	1.54e-05	0	0	1.54e-05	0	0	0	0	1.44e-05	0	0	0	1.64e-05	0	0	0	0	1.22e-05	0
Flavonifractor	0.000124396	0.000209503	0	7.83e-05	0.00018079	3.35e-05	0	0.000107007	3.03e-05	5.96e-05	0.000414985	8.02e-05	0.000145777	9.68e-05	1.7e-05	5.51e-05	6.83e-05	1.63e-05	0	3.3e-05	0	0	0	0	6.96e-05	6.35e-05	3.08e-05	2e-05	1.52e-05	0.00020041	6.57e-05	9.85e-05	2.6e-05	0	0	1.93e-05	0	0.000485557	4.91e-05	3.53e-05	9.77e-05	1.98e-05	0.000237696	0.000742607	0.000911011
Butyrivibrio	8.29e-05	0	3.15e-05	0.00019576	0.000262968	0.009800472	0	0	6.05e-05	0	0.000188629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.81e-05	0	0	0	0	0	0	0	1.77e-05	0	1.98e-05	0.000237696	1.22e-05	0
Chryseobacterium	0	0	0	0	6.57e-05	0	0	3.57e-05	0	0	0	0	0	0	0	0	2.28e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microbacterium	0	0	0	0	0	1.68e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.58e-05	1.65e-05	0	0	0	1.94e-05	1.39e-05	0	0	2e-05	0	0	0	0	0	1.64e-05	0	0	0	0	0	0	0	0	0	1.22e-05	2.64e-05
