real	pearson	bray	a_pearson_real	p_pearson_real	a_bray_real	p_bray_real
B5034	0	0.368848800216785	0.5847	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
B1152	469303.1349	0.54652354411209	0.53965	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
B5181	39823.57147	0.564692608240296	0.44435	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
A3087	1178166.868	0.228993423398073	0.6567	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
A2012	1087334.417	0.410404891260968	0.58655	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
A1194	910632.0435	0.671765854829746	0.4621	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
D3223	1829874.686	0.397106388743923	0.51625	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
D2157	1776453.65	0.189633758288079	0.6957	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
D2085	1754754.055	0.431502456466261	0.5292	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
C6055	1940818.08	0.522494871482244	0.52525	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
C1160	2034609.555	0.836942118897309	0.3619	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
C6103	1932041.622	0.588606603893253	0.5343	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
M5158	2365906.559	0.4431541	0.5864	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
M2095	2292851.181	0.5704634	0.47445	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
M2146	2291106.477	0.6485158	0.47195	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
K3064	2008044.069	0.5483028	0.5049	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
K3132	2008673.176	0.7696774	0.402	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
K6172	2010603.337	0.5758986	0.52255	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
J4092	1511052.204	0.4573363	0.51865	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
J4051	1511052.204	0.2227469	0.6515	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
J3005	1503502.946	0.4400466	0.4959	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
O2008	2643263.285	0.3361339	0.66015	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
O4057	2505534.589	0.3813361	0.56405	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
O3212	2450305.456	0.4302547	0.4825	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
E2073	1959660.813	0.246543387649908	0.6572	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
E4056	2249938.524	0.543461078486585	0.5258	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
E4083	2260453.658	0.81740628001261	0.34025	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
F1219	2537492.92	0.6765974	0.39875	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
F4247	2358819.229	0.4165897	0.52905	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
F6089	2348612.894	0.4932675	0.5726	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
G3103	2680993.73	0.2814319	0.6142	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
G4248	2815652.611	0.5336162	0.5129	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
G1045	2695126.623	0.538827	0.5113	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
L1108	2956560.102	0.4532086	0.5552	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
L3147	3001492.589	0.3664941	0.58915	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
L2116	2962851.181	0.4904603	0.66135	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
I3216	3221321.085	0.3664193	0.61125	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
I6177	3229382.749	0.4791708	0.49145	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
I3211	3221321.085	0.4704887	0.5035	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
N4004	3172195.881	0.724562	0.41735	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
N2013	3660333.482	0.3683683	0.59285	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
N2076	3665783.266	0.4961954	0.51795	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
H6347	3360082.84	0.6516221	0.4923	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
H6212	3373781.805	0.4197211	0.5738	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
H4089	3486817.815	0.5266155	0.5453	-1.16981436347954e-08	0.000299048176901913	1.52892186351065e-08	3.00405066691782e-17
