Age	Age3
B5034	67	C
B1152	41	A
B5181	47	B
A3087	33	A
A2012	62	C
A1194	72	C
D3223	27	A
D2157	69	C
D2085	80	C
C6055	54	B
C1160	80	C
C6103	28	A
M5158	64	C
M2095	65	C
M2146	80	C
K3064	58	B
K3132	70	C
K6172	50	B
J4092	41	A
J4051	65	C
J3005	64	C
O2008	69	C
O4057	61	C
O3212	38	A
E2073	52	B
E4056	59	B
E4083	44	A
F1219	20	A
F4247	51	B
F6089	52	B
G3103	31	A
G4248	51	B
G1045	64	C
L1108	34	A
L3147	76	C
L2116	47	B
I3216	21	A
I6177	37	A
I3211	70	C
N4004	27	A
N2013	62	C
N2076	66	C
H6347	53	B
H6212	47	B
H4089	40	A
