p_values	centroids.X1	centroids.X2
Skermanella	0.311	0.505581753476679	0.862778703116533
Microvirga	0.313	0.517824107332444	0.855487109116997
Olsenella	0.055	-0.988054381387475	-0.154105611257392
Geodermatophilus	0.317	0.467459202292708	0.884014645914798
Faecalibacterium	0.001	-0.936865365083453	-0.349690273966904
Actinoplanes	0.281	0.546159263967062	0.837681358502717
Enterococcus	0.001	0.332266388729428	-0.943185584559425
Fusicatenibacter	0.023	-0.99999560206285	0.00296578066582949
Slackia	0.597	0.362802018272548	-0.931866243372602
Veillonella	0.185	-0.404027741348237	-0.914746732282243
