B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
Skermanella	0	0	0	0	0	0	0	0.000695547	0	0	0	2.01e-05	0	0	0	1.84e-05	0.00022763	0.000114137	0	0	0	1.76e-05	0	0	0	0	0	2e-05	0	0	0	0	0	0.000360685	0	0.00156555	0	0	0	0	0	0	0	0	0
Microvirga	0	0	0	0	0	0	0	0.002389827	0	0	0	0	0	0	0	1.84e-05	0.000637363	0.000440241	1.58e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001213214	0.000115305	0.005817662	0	0	0	0	0	0	0	0	0
Olsenella	4.15e-05	2.1e-05	3.15e-05	0.000137032	0.001594241	5.03e-05	0	8.92e-05	3.03e-05	0.000238588	1.89e-05	4.01e-05	0.00025916	3.23e-05	5.11e-05	0.000165232	0.000273156	0.000358715	0.00012605	4.94e-05	0.001474066	5.28e-05	7.79e-05	1.94e-05	0.000334206	0.000618743	0.000184525	6.01e-05	0.003209223	0.000277491	0.000378016	9.85e-05	7.79e-05	3.28e-05	0.000129719	0.000115967	0.000143324	0.002190655	0.000114546	0.000123581	0.000130251	0	0.000158464	6.09e-05	0.000316874
Geodermatophilus	0	0	0	0	0	0	0	0.000998734	0	0	0	0	0	0	0	0	0.00022763	0.000163052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000344291	4.32e-05	0.001063028	0	0	0	0	0	0	0	0	0
Faecalibacterium	0.097816847	0.076531467	0.005097947	0.010649335	0.068634541	0.004406024	0.005095774	0.002371993	0.002480564	0.002525052	0.002471045	0.002046303	0.001943698	0.003564286	0.003847856	0.001432007	0.002344586	0.001434861	0.004427498	0.004086408	0.004299358	0.000756124	0.000428332	0.000971855	0.010945246	0.004394663	0.002690983	0.004383946	0.010129586	0.002713244	0.001775031	0.007584392	0.008856568	0.000623002	0.001282772	0.000579833	0.001321761	0.198570428	0.003861825	0.010610314	0.003256268	0.005745646	0.006602665	0.024713	0.008661209
Actinoplanes	0	0	0	0	0	0	0	0.000321022	0	0	0	0	0	0	0	0	0	0.000130442	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000229527	2.88e-05	0.000425211	0	0	0	0	0	0	0	0	0
Enterococcus	0.00053905	0.000775161	0.003508772	0.044672396	0.000312274	0.001005177	0.00120208	0.000659878	0.000907523	0.001550819	0.004659147	0.000682101	0.007126891	0.049706471	0.001702591	0.003892122	0.011813981	0.009554867	0.0065861	0.072747944	0.013819366	0.0461763	0.173766598	0.008941067	0.000111402	0.003823515	0.001291672	0.022440196	0.000988623	0.000292907	0.000640983	0.00068949	0.00088306	0.007607181	0.030411784	0.006822706	0.022294769	0.001004991	0.004270917	0.00390163	0.008824487	0.0033087	0.01821015	0.000316521	0.002957486
Fusicatenibacter	0.009226049	0.031299757	0.040217135	0.006244739	0.031441062	0.017590592	0.035095513	0.016140251	0.022385576	0.028292508	0.048232542	0.018336476	0.013735463	0.025966067	0.015868151	0.021682058	0.080171178	0.002396869	0.013345518	0.011781377	0.052544299	0.002321124	0.007865737	0.032732079	0.006015708	0.01099459	0.041271989	0.062075868	0.02143031	0.03849415	0.005505884	0.004587221	0.011635608	0.007492417	0.003300615	0.005817662	0.004331555	0.070292915	0.006578194	0.00840351	0.008922175	0.004675767	0.017946043	0.004126949	0.001901241
Slackia	6.22e-05	0	4.72e-05	0.001115831	0.000164355	5.03e-05	2.61e-05	0.000303187	0	3.98e-05	0.000113178	0.000140433	3.24e-05	0.004628734	0.000306466	5.51e-05	4.55e-05	0.00037502	0.000204831	0.000197729	0.007339619	1.76e-05	0.000136288	3.89e-05	0.000375982	0.000920182	0.000169147	0	9.13e-05	7.71e-05	9.86e-05	0.000182926	2.6e-05	9.84e-05	1.44e-05	1.93e-05	0.000207023	0.000395221	0.00031091	0.000123581	0.000341908	0	0.000739498	0.000231304	0.000105625
Veillonella	2.07e-05	4.19e-05	6.29e-05	0.000959223	0	0.000100518	0.000287454	0.000107007	3.03e-05	0	3.77e-05	2.01e-05	1.62e-05	4.84e-05	6.81e-05	0	0	0	3.15e-05	0.000230684	9.21e-05	0	0	0	1.39e-05	0	0	6.01e-05	4.56e-05	0.000107913	0	1.41e-05	0	0	7.21e-05	1.93e-05	0	0.000259717	0	0	3.26e-05	1.98e-05	0	0.000426086	0.000118828
