metabolite_id	col	row	cor_cdata	cor_pdata	cor_qdata	food	id	chemical_name
8	COMPID_1418	224	8	-0.198819774	8.68e-06	0.00329233777777778	Fruit	1418	5,6-dihydrothymine
11	COMPID_1419	236	8	-0.233694143	1.53e-07	0.0001828044	Fruit	1419	5-methylthioadenosine (MTA)
17	COMPID_15140	596	8	-0.236046351	1.14e-07	0.000143376	Fruit	15140	kynurenine
19	COMPID_1552	476	1	0.158939422	0.000396183	0.0325332954226804	Rice	1552	erucate (22:1n9)
21	COMPID_1558	201	8	0.160249337	0.000354006	0.0309606692554745	Fruit	1558	4-acetamidobutanoate
23	COMPID_15650	325	8	-0.174244274	0.000100734	0.0145887252363636	Fruit	15650	N1-methyladenosine
39	COMPID_1585	281	8	-0.168531275	0.000170303	0.02034780244	Fruit	1585	N-acetylalanine
48	COMPID_1644	555	1	-0.15222027	0.000696279	0.0426622640615385	Rice	1644	heptanoate (7:0)
55	COMPID_18362	384	8	-0.169029878	0.000162783	0.019823662989899	Fruit	18362	azelate (C9-DC)
59	COMPID_18362	384	1	0.176788471	7.93e-05	0.0125493562913907	Rice	18362	azelate (C9-DC)
66	COMPID_1899	716	8	-0.171593151	0.000128796	0.0171939062346369	Fruit	1899	quinolinate
67	COMPID_19263	78	1	0.153896589	0.000606183	0.0395774561967213	Rice	19263	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
70	COMPID_20675	12	1	0.20340154	5.3e-06	0.00243017811320755	Rice	20675	1,5-anhydroglucitol (1,5-AG)
71	COMPID_20675	12	8	-0.184552667	3.74e-05	0.00748741333333333	Fruit	20675	1,5-anhydroglucitol (1,5-AG)
73	COMPID_20694	664	1	-0.160532751	0.000345449	0.0308016765074627	Rice	20694	oxalate (ethanedioate)
86	COMPID_22130	690	1	0.177472062	7.43e-05	0.0119159248322148	Rice	22130	phenyllactate (PLA)
97	COMPID_27738	791	1	-0.151036096	0.000767236	0.044928160801956	Rice	27738	threonate
104	COMPID_31787	166	8	0.193389061	1.53e-05	0.00445864390243902	Fruit	31787	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
123	COMPID_32398	727	1	0.185690063	3.34e-05	0.00712612857142857	Rice	32398	sebacate (C10-DC)
127	COMPID_32415	457	1	0.155576072	0.000526867	0.0367758745348837	Rice	32415	docosadienoate (22:2n6)
128	COMPID_32417	463	1	0.171719943	0.000127302	0.017186489220339	Rice	32417	docosatrienoate (22:3n3)
