metabolite_id	col	row	cor_cdata	cor_pdata	cor_qdata	genus	id	chemical_name
1	COMPID_1110	376	21	-0.178860823822828	6.1829985219676e-05	0.0250004603433967	Faecalibacterium	1110	arachidonate (20:4n6)
2	COMPID_1114	444	15	0.226165440416512	3.57425076457218e-07	0.000885254564783332	Ruminococcus	1114	deoxycholate
6	COMPID_1123	586	19	0.192702475012233	1.55022614337755e-05	0.0110056340338573	Gemmiger	1123	inosine
7	COMPID_1123	586	35	0.176966649754083	7.41353590219365e-05	0.0282931744915719	Pediococcus	1123	inosine
8	COMPID_12261	782	73	0.180528319549541	5.26180257917733e-05	0.0230364243037118	Sporobacter	12261	taurodeoxycholate
10	COMPID_12261	782	15	0.20784516436368	3.03659535520653e-06	0.003440462537449	Ruminococcus	12261	taurodeoxycholate
12	COMPID_12261	782	26	0.2167280564411	1.10129797869773e-06	0.00173602867459413	Coprococcus	12261	taurodeoxycholate
13	COMPID_1303	619	50	0.221547229941884	6.23779390368536e-07	0.00116977994364836	Bacillus	1303	malate
14	COMPID_1303	619	41	-0.172185768651648	0.000116248876942255	0.0375197562233091	Clostridium_IV	1303	malate
15	COMPID_1303	619	117	0.179606665313771	5.75358214948277e-05	0.0239772269438675	Geobacillus	1303	malate
19	COMPID_15136	823	41	-0.172185874825023	0.000116247730866842	0.0375197562233091	Clostridium_IV	15136	xanthosine
20	COMPID_15140	596	10	-0.190571475621343	1.93086215373609e-05	0.0125331614720504	Fusicatenibacter	15140	kynurenine
21	COMPID_15443	512	41	-0.190697907543279	1.90600049669415e-05	0.0124886663870138	Clostridium_IV	15443	glucuronate
25	COMPID_15506	416	41	-0.193650947596379	1.40480623979977e-05	0.0103481189483374	Clostridium_IV	15506	choline
26	COMPID_1552	476	50	0.180492343101514	5.28023014038541e-05	0.0230364243037118	Bacillus	1552	erucate (22:1n9)
27	COMPID_1563	412	26	-0.17378476763591	0.000100142763422701	0.0342526040627684	Coprococcus	1563	chenodeoxycholate
29	COMPID_1572	521	19	0.180349009431417	5.35425440090569e-05	0.0231099818522901	Gemmiger	1572	glycerate
30	COMPID_1573	551	19	0.176061170452136	8.0801793115319e-05	0.029893365420296	Gemmiger	1573	guanosine
31	COMPID_1573	551	50	0.178128483060737	6.63394211646329e-05	0.0262385678590356	Bacillus	1573	guanosine
33	COMPID_1573	551	118	0.181400499535312	4.83321795226112e-05	0.0220854374003772	Paracoccus	1573	guanosine
34	COMPID_1573	551	35	0.188016719859123	2.50432976368788e-05	0.0144122190336933	Pediococcus	1573	guanosine
35	COMPID_15730	765	50	0.244406717875703	3.52182409282827e-08	0.000212812090515969	Bacillus	15730	suberate (C8-DC)
38	COMPID_15749	195	73	0.184199693554737	3.66983646132974e-05	0.0182265192797221	Sporobacter	15749	3-phenylpropionate (hydrocinnamate)
40	COMPID_15749	195	24	0.217847224875	9.66208645439898e-07	0.00159231184768495	Prevotella	15749	3-phenylpropionate (hydrocinnamate)
42	COMPID_15749	195	19	0.212188450269487	1.85935034210848e-06	0.00243421824850652	Gemmiger	15749	3-phenylpropionate (hydrocinnamate)
44	COMPID_15749	195	26	0.245107807844704	3.2094896317419e-08	0.000212812090515969	Coprococcus	15749	3-phenylpropionate (hydrocinnamate)
45	COMPID_15749	195	47	0.226149669812344	3.58112688019147e-07	0.000885254564783332	Methanobrevibacter	15749	3-phenylpropionate (hydrocinnamate)
46	COMPID_15749	195	20	0.20552261055433	3.93069048932628e-06	0.00419150336414746	Holdemanella	15749	3-phenylpropionate (hydrocinnamate)
48	COMPID_15753	563	26	0.216148176753057	1.17824135742637e-06	0.00180499937978241	Coprococcus	15753	hippurate
49	COMPID_15753	563	47	0.168196191114286	0.000167686374013619	0.0464094440934181	Methanobrevibacter	15753	hippurate
50	COMPID_15753	563	15	0.203130018683858	5.1121259278113e-06	0.00524163833299907	Ruminococcus	15753	hippurate
51	COMPID_15753	563	19	0.222103602863242	5.8367196245405e-07	0.00113365771450361	Gemmiger	15753	hippurate
53	COMPID_1589	296	104	0.170320374538822	0.00013811001496069	0.0413085198806478	Desulfovibrio	1589	N-acetylmethionine
55	COMPID_1604	810	19	-0.174248473751183	9.58802965086136e-05	0.0335328234426009	Gemmiger	1604	urate
56	COMPID_1638	381	40	-0.192130824942085	1.64466557570565e-05	0.0112878712776615	Psychrobacter	1638	arginine
58	COMPID_1643	487	50	0.237921898183459	8.20332774121631e-08	0.000366426472317122	Bacillus	1643	fumarate
59	COMPID_1643	487	117	0.183327812485244	4.00025081047296e-05	0.0192521805377665	Geobacillus	1643	fumarate
61	COMPID_17747	757	62	0.183145242439138	4.07291417063876e-05	0.0195155387009708	Rothia	17747	sphingosine
62	COMPID_17769	731	62	0.179729110257548	5.68583417125322e-05	0.0239772269438675	Rothia	17769	sphinganine
64	COMPID_18362	384	73	0.167217911877758	0.000183219224041921	0.0486058257575407	Sporobacter	18362	azelate (C9-DC)
65	COMPID_18362	384	35	0.219775692374873	7.69896834312483e-07	0.00135349360387132	Pediococcus	18362	azelate (C9-DC)
66	COMPID_18362	384	88	0.168655968638911	0.000160820837218973	0.0449669944026562	Alloprevotella	18362	azelate (C9-DC)
67	COMPID_18362	384	117	0.241395989242512	5.23076467042896e-08	0.000284469905836609	Geobacillus	18362	azelate (C9-DC)
68	COMPID_18362	384	24	0.188632025460815	2.35302885195271e-05	0.0138342833604969	Prevotella	18362	azelate (C9-DC)
73	COMPID_18362	384	40	0.201107678230682	6.36830821729209e-06	0.00612980662104802	Psychrobacter	18362	azelate (C9-DC)
75	COMPID_18362	384	50	0.364508802935993	4.95248253871847e-17	5.38671620771331e-12	Bacillus	18362	azelate (C9-DC)
77	COMPID_18368	429	50	0.170438403136107	0.000136619633357663	0.0411937346536359	Bacillus	18368	cys-gly, oxidized
78	COMPID_18467	470	21	-0.187813764864294	2.55622723237473e-05	0.0146180131567903	Faecalibacterium	18467	eicosapentaenoate (EPA; 20:5n3)
80	COMPID_18477	537	19	0.168101815133883	0.000169129210769018	0.0465717620175305	Gemmiger	18477	glycodeoxycholate
81	COMPID_18477	537	73	0.202988157467342	5.19190133160565e-06	0.00524163833299907	Sporobacter	18477	glycodeoxycholate
