arachidonate (20:4n6)	deoxycholate	inosine	taurodeoxycholate	malate	5-methylthioadenosine (MTA)	N6,N6,N6-trimethyllysine	orotate	xanthosine	kynurenine	glucuronate	carnitine	choline	erucate (22:1n9)	chenodeoxycholate	N1-methyladenosine	glycerate	guanosine	suberate (C8-DC)	3-phenylpropionate (hydrocinnamate)	hippurate	ribitol	N-acetylmethionine	glycerophosphorylcholine (GPC)	urate	arginine	fumarate	sphingosine	sphinganine	indolelactate	azelate (C9-DC)	cys-gly, oxidized	eicosapentaenoate (EPA; 20:5n3)	glycodeoxycholate	taurocholate	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	tartronate (hydroxymalonate)	oxalate (ethanedioate)	1-oleoylglycerol (18:1)	2-oleoylglycerol (18:1)	taurine	2-hydroxyoctanoate	phenyllactate (PLA)	theanine	cholate	indoleacetate	3-indoxyl sulfate	N-acetylglycine	threonate	hypoxanthine	threonylphenylalanine	3-ureidopropionate	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	glycolithocholate	propionylglycine (C3)	N-acetylneuraminate	sebacate (C10-DC)	indolepropionate	docosatrienoate (22:3n3)	myristoleate (14:1n5)	dehydroepiandrosterone sulfate (DHEA-S)	3-methylxanthine	propionylcarnitine (C3)	caprylate (8:0)	pregnenediol disulfate (C21H34O8S2)*	glycolithocholate sulfate*	1-arachidonoyl-GPC (20:4n6)*	1-palmitoleoyl-GPC (16:1)*	1-palmitoyl-GPC (16:0)	stearidonate (18:4n3)	hyocholate	1-palmitoyl-GPA (16:0)	sphingosine 1-phosphate	phenylacetylglutamine	1-docosahexaenoylglycerol (22:6)	N6-carbamoylthreonyladenosine	orotidine	catechol sulfate	hexanoylglycine (C6)	3-(3-hydroxyphenyl)propionate	4-ethylphenylsulfate	p-cresol sulfate	1-linoleoyl-GPE (18:2)*	2-hydroxy-3-methylvalerate	taurolithocholate 3-sulfate	N6-methyladenosine	4-allylphenol sulfate	5alpha-androstan-3alpha,17beta-diol disulfate	androstenediol (3alpha, 17alpha) monosulfate (2)	androstenediol (3alpha, 17alpha) monosulfate (3)	4-hydroxycoumarin	glycerophosphoethanolamine	betonicine	9,10-DiHOME	cinnamoylglycine	hydroxycotinine	glycoursodeoxycholate	3-(4-hydroxyphenyl)propionate	3-hydroxyhippurate	valylglycine	equol sulfate	prolylglycine	imidazole propionate	histidylalanine	indoleacetylglutamine	S-adenosylhomocysteine (SAH)	undecanedioate (C11-DC)	2-aminooctanoate	formiminoglutamate	3b-hydroxy-5-cholenoic acid	4-methylbenzenesulfonate	2-aminoheptanoate	guanidinoacetate	4-acetylphenol sulfate	glutarylcarnitine (C5-DC)	docosahexaenoate (DHA; 22:6n3)	4-methylcatechol sulfate	alpha-hydroxyisovalerate	etiocholanolone glucuronide	N-acetyltaurine	fructose	N1-methylinosine	methyl-4-hydroxybenzoate sulfate	4-hydroxychlorothalonil	4-vinylguaiacol sulfate	2-methoxyresorcinol sulfate	propyl 4-hydroxybenzoate sulfate	sphingomyelin (d18:1/20:0, d16:1/22:0)*	6-hydroxyindole sulfate	N-acetylkynurenine (2)	1,2,3-benzenetriol sulfate (2)	3-methoxycatechol sulfate (1)	p-cresol glucuronide*	arabitol/xylitol	creatinine	2-hydroxybutyrate/2-hydroxyisobutyrate	1-palmitoleoylglycerol (16:1)*	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	2'-deoxyuridine	sphinganine-1-phosphate	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	1-(1-enyl-palmitoyl)-2-arachidonoyl-GPE (P-16:0/20:4)*	1-linoleoyl-GPA (18:2)*	lactate	7-hydroxyindole sulfate	palmitoylcholine	glycodeoxycholate 3-sulfate	glutamine	3-hydroxy-3-methylglutarate	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	palmitoleoylcarnitine (C16:1)*	oleoylcholine	arachidonoylcholine	dihomo-linolenoyl-choline	docosahexaenoylcholine	3beta-hydroxy-5-cholestenoate	hexanoylglutamine	beta-citrylglutamate	cotinine	adenine	phenylpyruvate	glutamate	myristoyl dihydrosphingomyelin (d18:0/14:0)*	glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*	linoleoylcholine*	sphingomyelin (d18:1/19:0, d19:1/18:0)*	linolenoylcarnitine (C18:3)*	dihomo-linoleoylcarnitine (C20:2)*	dihomo-linolenoylcarnitine (C20:3n3 or 6)*	perfluorooctanesulfonate (PFOS)	isoursodeoxycholate	beta-cryptoxanthin	carotene diol (1)	heneicosapentaenoate (21:5n3)	hypotaurine	leucine	dihydroorotate	2-aminoadipate	octadecadienedioate (C18:2-DC)*	methylnaphthyl sulfate (2)*	glyco-beta-muricholate**	perfluorooctanoate (PFOA)	cysteinylglycine disulfide*	glycine conjugate of C10H14O2 (1)*	hydroxy-CMPF*	indoleacetoylcarnitine*	N-acetyl-isoputreanine	lithocholate sulfate (1)	2-hydroxyfluorene sulfate	(2,4 or 2,5)-dimethylphenol sulfate	1-carboxyethylleucine	1-carboxyethylphenylalanine	3-ethylcatechol sulfate (2)	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*	Fibrinopeptide B (1-9)**
Faecalibacterium	*																																*																																						*																																																																																																																																				
Ruminococcus		*		*																	*													*																									*								*																*			*										*				*																																		*				*																	*															*																			*							*							
Gemmiger			*														*	*		*	*				*									*																					*				*								*												*							*						*				*		*						*																																												*							*																								*										*	*						*							
Pediococcus			*															*													*																																																																																																																																																																		*										
Sporobacter				*																*											*			*																																																														*																																																																																													*														
Coprococcus				*											*					*	*													*																					*												*																*			*						*				*								*																																																			*																								*										*							*							
Bacillus					*									*				*	*								*				*	*										*										*		*				*												*				*																*					*											*		*				*									*																			*						*						*																										*			*	*	*								*		*										
Clostridium_IV					*				*		*		*																									*					*														*																				*	*							*																			*			*																*												*	*																					*									*																									*								*	*		*	
Geobacillus					*																						*				*																											*																													*																																																																																																					*															
Fusicatenibacter										*																											*																								*																								*																																		*																																																										*																										
Paracoccus																		*																																																							*																																																																														*																																																				
Prevotella																				*											*																*							*										*																												*				*						*																									*		*			*	*																																									*				*		*												*	*										
Methanobrevibacter																				*	*																																		*																											*										*				*						*													*																																																																																								
Holdemanella																				*																																																																								*				*						*																																																																																																					
Desulfovibrio																							*																																																																																																																																																																																				
Psychrobacter																										*					*																							*				*															*											*																					*												*								*																										*																	*										*				*					*						*										
Rothia																												*	*																																																																																							*								*				*																			*																																																								
Alloprevotella																															*																																																																																																																																																																												
Romboutsia																																			*																																																																																																																																																																								
Sutterella																																															*																					*																																																																																						*						*	*	*	*										*																														
Mitsuokella																																															*																																																																																																																																																												
Clostridium_XlVb																																																		*																																																																																																																																																									
Anaerostipes																																																						*				*																																																																																																																								*															*										
Lactococcus																																																																									*																																																																																																																																		
Veillonella																																																																									*																																																																																																																																		
Rubrobacter																																																																												*																																																																																																																					*										
Alistipes																																																																																		*																																																																																																											*														
Eggerthella																																																																																								*				*				*			*			*																																																																													*													*	*										
Slackia																																																																																																			*																																																																																																								
Faecalicoccus																																																																																																							*																																																																																																				
Ruminococcus2																																																																																																																																																*																																																											
Atopobium																																																																																																																																																																				*											*																												
Solobacterium																																																																																																																																																																																	*																								*		
Anaerotruncus																																																																																																																																																																																		*																									
Neisseria																																																																																																																																																																																								*		*																	
Mogibacterium																																																																																																																																																																																												*				*											
Olsenella																																																																																																																																																																																																						*					
