Rice	Fruit
B5034	0.184434626989548	0
B1152	0.136331019218965	0.107384222948705
B5181	0.618153838173377	0.325568440033425
A3087	0.190201180976424	0.234559394836761
A2012	0.187322226737099	0.542418600560011
A1194	0.100867144475088	0.0403588758741002
D3223	0	0.0736516499787431
D2157	0	0
D2085	0	0.0557078562737308
C6055	0.0662851115702837	0
C1160	0.432275411310054	0.37626258924252
C6103	0.152740193832294	0
M5158	0.2247832	0
M2095	0.1556191	0
M2146	0.2507197	0
K3064	0	0.301013
K3132	0.1657085	0.09216718
K6172	0.1253599	0
J4092	0.07576059	0.04886165
J4051	0.1152706	0.07476581
J3005	0	0.06205562
O2008	0.06175487	0.05235072
O4057	0.03458203	0.4951109
O3212	0.04631399	0.09622799
E2073	0.0720430200489336	0
E4056	0.518730493572065	0
E4083	0.501439477119662	0
F1219	0.172910164524022	0.216234442115139
F4247	0.100867144475088	0
F6089	0.160106166841018	0
G3103	0.311238296143239	0.0134871652031138
G4248	0.27377730899911	0.0551947575975254
G1045	0.208927351794375	0
L1108	0.1239247	0
L3147	0.1239161	0
L2116	0.3498578	0
I3216	0.492794	0
I6177	0.4466875	0
I3211	0.475503	0
N4004	0.2881807	0.1710231
N2013	0.4034599	0.1514814
N2076	0.5475546	0.09772331
H6347	0.2599445	0.1805668
H6212	0.1873222	0
H4089	0.321327604243215	0
