Latitude	Longitude
B5034	1	1
B1152	0.93100855587244	0.825854862472237
B5181	0.991060895773918	0.987106981499752
A3087	0.697519526186155	0.676392274541686
A2012	0.731147912885663	0.688926184665985
A1194	0.783035714285714	0.728982497095131
D3223	0.51793208776251	0.525487958361119
D2157	0.540095119263676	0.529082156677209
D2085	0.549735059631838	0.529928070249696
C6055	0.421230068706248	0.587473552353314
C1160	0.351832706766917	0.637942450406682
C6103	0.423735659191081	0.589344777958433
M5158	0.223663712081929	0.628875944999298
M2095	0.261060328623282	0.612496678714706
M2146	0.263323381190044	0.609524893389506
K3064	0.349280083290122	0.663309050069892
K3132	0.349420979712212	0.662530753521185
K6172	0.352176562094892	0.655626311014203
J4092	0.699100661135598	0.509801089154214
J4051	0.699100661135598	0.509801089154214
J3005	0.702555499740731	0.510588853954984
O2008	0.42402109800363	0.215510373513512
O4057	0.470793565270936	0.238488263992558
O3212	0.48309895158154	0.253408267073478
E2073	0.53841027676951	0.436774485452669
E4056	0.387969114596837	0.449223368181796
E4083	0.388618096966554	0.442644801731843
F1219	0.313814979258491	0.38087317777805
F4247	0.385017905755769	0.393933136512044
F6089	0.340773674487944	0.452731604735733
G3103	0.249102686673581	0.38122169666156
G4248	0.205540494555354	0.360849163923755
G1045	0.226804349235157	0.402192317703211
L1108	0.282195116022816	0.200511478713921
L3147	0.269745025278714	0.191106171839618
L2116	0.286064744296085	0.193571872862927
I3216	0.15949572206378	0.197942498993765
I6177	0.18986623347161	0.1611178504925
I3211	0.15949572206378	0.197942498993765
N4004	0.243825633588281	0.13426738262848
N2013	0.0980985869847032	0.0449176992434023
N2076	0.0960916434404979	0.0443258089071895
H6347	0.00800573632356756	0.310182709545266
H6212	0	0.31326518621202
H4089	0.0032797511018927	0.243188285629383
