Gender	Age
B5034	0	0.790322580645161
B1152	1	0.370967741935484
B5181	0	0.467741935483871
A3087	1	0.241935483870968
A2012	0	0.709677419354839
A1194	1	0.870967741935484
D3223	0	0.145161290322581
D2157	0	0.82258064516129
D2085	1	1
C6055	0	0.580645161290323
C1160	1	1
C6103	0	0.161290322580645
M5158	1	0.741935483870968
M2095	1	0.758064516129032
M2146	0	1
K3064	1	0.645161290322581
K3132	1	0.838709677419355
K6172	0	0.516129032258065
J4092	0	0.370967741935484
J4051	0	0.758064516129032
J3005	1	0.741935483870968
O2008	1	0.82258064516129
O4057	0	0.693548387096774
O3212	1	0.32258064516129
E2073	1	0.548387096774194
E4056	0	0.661290322580645
E4083	0	0.419354838709677
F1219	1	0.032258064516129
F4247	1	0.532258064516129
F6089	1	0.548387096774194
G3103	1	0.209677419354839
G4248	1	0.532258064516129
G1045	0	0.741935483870968
L1108	1	0.258064516129032
L3147	1	0.935483870967742
L2116	0	0.467741935483871
I3216	0	0.0483870967741935
I6177	1	0.306451612903226
I3211	1	0.838709677419355
N4004	0	0.145161290322581
N2013	1	0.709677419354839
N2076	0	0.774193548387097
H6347	0	0.564516129032258
H6212	0	0.467741935483871
H4089	0	0.354838709677419
