B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
OTU165	63	3	2	3	2	1	3	1	1	0	10	1	0	5	1	2	5	1	0	3	0	0	0	0	60	1	5	4	0	3	3	20	1	0	1	0	5	1	8	7	2	11	4	2	1
OTU51	146	51	146	32	87	186	69	32	162	93	39	59	143	203	36	56	148	18	72	242	71	19	31	60	48	107	288	32	51	36	44	84	62	41	24	19	104	152	190	85	69	165	146	34	64
OTU29	4631	3565	323	541	4147	261	194	130	79	125	129	101	118	218	218	77	103	85	272	246	139	43	21	45	761	267	172	210	656	170	106	498	669	37	87	30	83	17569	227	589	198	285	496	2022	650
OTU103	17	1	14	14	17	215	10	1	2	0	3	0	0	1	8	0	0	284	0	0	0	0	1	3	998	5	33	38	0	6	0	10	114	30	0	0	10	18	206	13	13	9	277	0	4
OTU244	1	0	8	0	1	0	0	2	1	1	1	3	0	0	2	0	1	0	2	0	0	0	2	0	1	0	0	4	1	0	0	2	1	0	0	0	0	0	1	0	0	0	0	6	3
OTU258	1	0	0	3	0	0	1	3	0	0	2	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	0	0	2	2	0	0	0	0	1	0
OTU288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU21	183	100	224	286	69	482	97	562	552	134	188	3104	539	244	1931	338	1013	368	194	231	161	510	715	334	3486	931	720	713	2666	160	263	519	389	270	1408	535	881	112	254	207	265	152	995	728	2485
OTU266	0	0	4	0	1	0	1	8	0	1	0	1	11	3	1	2	0	2	0	0	0	4	2	1	10	11	3	0	3	2	1	0	5	0	1	7	12	4	1	1	3	0	4	4	4
OTU121	306	1792	172	146	139	633	188	492	7134	72	120	538	253	143	455	22	133	222	181	153	87	348	109	76	798	375	810	193	243	106	1075	739	153	115	581	472	1144	382	284	1597	236	343	140	38	553
OTU171	6	10	0	2	11	2	0	0	1	3	22	3	9	6	1	3	1	1	0	2	0	0	0	0	5	4	2	1	1	10	4	7	2	0	0	1	0	42	1	2	6	1	7	61	69
